,TicketID,Summary,unclean,Top1Grams,Top2Grams,Top3Grams,Top4Grams,Automation Category
0,543244,class bandwidth allocation,Class bandwidth Allocation,class,class bandwidth,class bandwidth allocation,No Pattern,Need Manual Analysis
1,675379,classification change,Classification change,change,classification change,No Pattern,No Pattern,Need Manual Analysis
2,1077865,client latop office not work,"client latop – office 365 , not working",not,not work,office not work,client latop office not,Need Manual Analysis
3,1018957,client mail box need configure outlook,Client Mail box needs to be configure in outlook,need,need configure,mail box need,mail box need configure,Need Manual Analysis
4,801584,client need install software,Client need to install software,need,install software,client need install,client need install software,Need Manual Analysis
5,1051754,client vpn issue,Client VPN issue,issue,vpn issue,client vpn issue,No Pattern,Need Manual Analysis
6,1170038,cm raise,cm # 30202 raised,raise,cm raise,No Pattern,No Pattern,Need Manual Analysis
7,938538,cmd error popup,CMD Error popup,error,cmd error,cmd error popup,No Pattern,Need Manual Analysis
8,726914,cmf sit,CMF SIT,sit,cmf sit,No Pattern,No Pattern,Need Manual Analysis
9,899330,cmf sit request check ip clash wt,CMF SIT request to check IP clash with WT,ip,cmf sit,cmf sit request,check ip clash wt,Need Manual Analysis
10,393203,cmr travel class,CMR implkementation for K2 travel class.,class,cmr travel,cmr travel class,No Pattern,Need Manual Analysis
11,829973,cmr need raise requirement description,CMR need to be raised for the below requirement in the description,need,cmr need,need raise requirement,need raise requirement description,Need Manual Analysis
12,565693,cmr need raise requirement description,CMR need to be raised for the below requirement in the description,need,cmr need,need raise requirement,need raise requirement description,Need Manual Analysis
13,524202,cmr need raise requirement description,CMR need to be raised for the below requirement in the description,need,cmr need,need raise requirement,need raise requirement description,Need Manual Analysis
14,602403,cmr need raise requirement description,CMR need to be raised for the below requirement in the description,need,cmr need,need raise requirement,need raise requirement description,Need Manual Analysis
15,627653,cmr impelematation,CMR# Impelematation.,cmr,cmr impelematation,No Pattern,No Pattern,Need Manual Analysis
16,627641,cmr,CMR#2515,cmr,No Pattern,No Pattern,No Pattern,Need Manual Analysis
17,530180,cneed configure,cNeed to configure O365,configure,cneed configure,No Pattern,No Pattern,Need Manual Analysis
18,483488,coach project device installation,Coach project device installation,device,coach project,project device installation,coach project device installation,Need Manual Analysis
19,505188,colour printer issue,Colour Printer Issue.,issue,colour printer,colour printer issue,No Pattern,Need Manual Analysis
20,465447,colour print attention,Coloured Printed Attention,colour,print attention,colour print attention,No Pattern,Need Manual Analysis
21,466210,colour printer check,Coloured printer check,check,colour printer,colour printer check,No Pattern,Need Manual Analysis
22,433005,commit bw netsuite mb mb confirm,Committed BW for NetSuite from 1 MB to 3 MB and confirm,bw,mb mb,commit bw netsuite,bw netsuite mb mb,Need Manual Analysis
23,635110,computer closing,Computer closing down,computer,computer closing,No Pattern,No Pattern,Need Manual Analysis
24,19156,not work segment sa location,"comtrac.wipro.com is not working for 10.195.0.1/24, 10.195.1.1/24, 10.195.2.1/24, 10.195.3.1/24, 10.195.4.1/24 segments from SA location",not,not work,work segment sa,work segment sa location,Need Manual Analysis
25,689473,conference need join kdc tjx slow ness issue pm,Conference call needs to be joined for KDC TJX slow ness issue from 8 to 9:30 p.m,issue,join kdc,need join kdc,tjx slow ness issue,Need Manual Analysis
26,573192,configuration softvoip laptop,configuration of softvoip in laptop,laptop,softvoip laptop,configuration softvoip laptop,No Pattern,Need Manual Analysis
27,510381,configure multicast broadcast cdc vtp switch es suggestion,Configure  multicast & broadcast in CDC 5 VTP Switch(10.142.1.6) as per ES Team suggestion.,switch,vtp switch,cdc vtp switch,configure multicast broadcast cdc,Need Manual Analysis
28,486145,configure log sap vpn,configure Logging to SAP from VPN,configure,log sap,configure log sap,configure log sap vpn,Need Manual Analysis
29,622937,configure new laptop,Configure new laptop,laptop,new laptop,configure new laptop,No Pattern,Need Manual Analysis
30,518335,connect backup client installation backup,Connected backup client installation and backup,installation,connect backup,backup client installation,connect backup client installation,Need Manual Analysis
31,620513,connect backup password reset,Connected backup password reset,password,password reset,backup password reset,connect backup password reset,Likely Automatable
32,691304,connection tab not appear internet explorer change proxy setting,Connection Tab not appearing in Internet explorer to change the proxy settings,not,internet explorer,not appear internet,internet explorer change proxy,Need Manual Analysis
33,699076,connectivity issue,Connectivity Issue.,issue,connectivity issue,No Pattern,No Pattern,Need Manual Analysis
34,447860,contact,Contact - +447767382642,contact,No Pattern,No Pattern,No Pattern,Need Manual Analysis
35,507740,contact,Contact - +91- 9890250578 and 9503712016,contact,No Pattern,No Pattern,No Pattern,Need Manual Analysis
36,953189,contact nnumber,contact nnumber : +1 617 480 8454,contact,contact nnumber,No Pattern,No Pattern,Need Manual Analysis
37,961398,contact,Contact No: 7838387326,contact,No Pattern,No Pattern,No Pattern,Need Manual Analysis
38,427718,contact num,contact num: 8572056395,contact,contact num,No Pattern,No Pattern,Need Manual Analysis
39,528461,contact number,contact number   :   2013992534,number,contact number,No Pattern,No Pattern,Need Manual Analysis
40,1046935,contact number,contact number   :   5182216201,number,contact number,No Pattern,No Pattern,Need Manual Analysis
41,714491,contact number,contact number  :  +15083953501,number,contact number,No Pattern,No Pattern,Need Manual Analysis
42,843043,contact number,contact number  :  +492151831562,number,contact number,No Pattern,No Pattern,Need Manual Analysis
43,912641,contact number,contact number :   0031 652672056,number,contact number,No Pattern,No Pattern,Need Manual Analysis
44,912989,contact number,contact number :  +13027454535,number,contact number,No Pattern,No Pattern,Need Manual Analysis
45,1104285,contact number,contact number :  +16308639352,number,contact number,No Pattern,No Pattern,Need Manual Analysis
46,1058376,contact number,contact number :  +19722817445,number,contact number,No Pattern,No Pattern,Need Manual Analysis
47,830623,contact number,contact number :  +27813771242,number,contact number,No Pattern,No Pattern,Need Manual Analysis
48,664046,contact number,contact number :  +4148172121,number,contact number,No Pattern,No Pattern,Need Manual Analysis
49,672048,contact number,contact number :  +44 7867233412,number,contact number,No Pattern,No Pattern,Need Manual Analysis
50,626564,contact number,contact number :  +49 8912477493,number,contact number,No Pattern,No Pattern,Need Manual Analysis
51,962963,contact number,contact number :  6594230359,number,contact number,No Pattern,No Pattern,Need Manual Analysis
52,1020818,contact number,contact number : - 732-865-1346,number,contact number,No Pattern,No Pattern,Need Manual Analysis
53,966961,contact number,contact number :  7816238063,number,contact number,No Pattern,No Pattern,Need Manual Analysis
54,1176334,contact number,contact number :  8223401,number,contact number,No Pattern,No Pattern,Need Manual Analysis
55,726839,contact number,Contact number : (206)617-1653,number,contact number,No Pattern,No Pattern,Need Manual Analysis
56,675053,contact number,contact number : + 33 1 46 93 99 90,number,contact number,No Pattern,No Pattern,Need Manual Analysis
57,432695,contact number,contact number : +1 (780) 420-7113,number,contact number,No Pattern,No Pattern,Need Manual Analysis
58,584540,contact number,contact number : +1 (972) 401-6456,number,contact number,No Pattern,No Pattern,Need Manual Analysis
59,672302,contact number,contact number :- +1 201-838-3490 ,number,contact number,No Pattern,No Pattern,Need Manual Analysis
