,TicketID,Summary,unclean,Top2Grams,Top3Grams,Top4Grams,Automation Category
0,543244,class bandwidth allocation,Class bandwidth Allocation,class bandwidth,class bandwidth allocation,latop office not work,Need Manual Analysis
1,675379,classification change,Classification change,classification change,No Pattern,box need configure outlook,Evaluate for Automation
2,1077865,client latop office not work,"client latop ? office 365 , not working",not work,latop office not,client need install software,Likely Automatable
3,1018957,client mail box need configure outlook,Client Mail box needs to be configure in outlook,need configure,mail box need,sit request check ip,Likely Automatable
4,801584,client need install software,Client need to install software,install software,need install software,need raise requirement description,Likely Automatable
5,1051754,client vpn issue,Client VPN issue,vpn issue,client vpn issue,need raise requirement description,Evaluate for Automation
6,1170038,cm raise,cm # 30202 raised,cm raise,No Pattern,need raise requirement description,not likely automatable
7,938538,cmd error popup,CMD Error popup,error popup,cmd error popup,need raise requirement description,Evaluate for Automation
8,726914,cmf sit,CMF SIT,cmf sit,No Pattern,coach project device installation,Likely Automatable
9,899330,cmf sit request check ip clash wt,CMF SIT request to check IP clash with WT,cmf sit,request check ip,commit bw netsuite mb,likely automatable
10,393203,cmr travel class,CMR implkementation for K2 travel class.,travel class,cmr travel class,not work segment sa,Likely Automatable
11,829973,cmr need raise requirement description,CMR need to be raised for the below requirement in the description,need raise,raise requirement description,slow ness issue pm,Evaluate for Automation
12,565693,cmr need raise requirement description,CMR need to be raised for the below requirement in the description,need raise,raise requirement description,broadcast cdc vtp switch,
13,524202,cmr need raise requirement description,CMR need to be raised for the below requirement in the description,need raise,raise requirement description,configure log sap vpn,
14,602403,cmr need raise requirement description,CMR need to be raised for the below requirement in the description,need raise,raise requirement description,backup client installation backup,
15,627653,cmr impelematation,CMR# Impelematation.,cmr impelematation,No Pattern,connect backup password reset,
16,627641,cmr,CMR#2515,No Pattern,No Pattern,not appear internet explorer,
17,530180,cneed configure,cNeed to configure O365,cneed configure,No Pattern,corporate network not work,
18,483488,coach project device installation,Coach project device installation,project device,coach project device,not open mail box,
19,505188,colour printer issue,Colour Printer Issue.,colour printer,colour printer issue,kindly provide report month,
20,465447,colour print attention,Coloured Printed Attention,colour print,colour print attention,create class pdc packetshaper,
21,466210,colour printer check,Coloured printer check,colour printer,colour printer check,new ct odc bandwidth,
22,433005,commit bw netsuite mb mb confirm,Committed BW for NetSuite from 1 MB to 3 MB and confirm,mb mb,mb mb confirm,create class pdc packetshaper,
23,635110,computer closing,Computer closing down,computer closing,No Pattern,schneider ssl vpn ps,
24,19156,not work segment sa location,"comtrac.wipro.com is not working for 10.195.0.1/24, 10.195.1.1/24, 10.195.2.1/24, 10.195.3.1/24, 10.195.4.1/24 segments from SA location",not work,not work segment,bw class pdc ps,
25,689473,conference need join kdc tjx slow ness issue pm,Conference call needs to be joined for KDC TJX slow ness issue from 8 to 9:30 p.m,slow ness,ness issue pm,would tacacs testing purpose,
26,573192,configuration softvoip laptop,configuration of softvoip in laptop,softvoip laptop,configuration softvoip laptop,application not work ist,
27,510381,configure multicast broadcast cdc vtp switch es suggestion,Configure  multicast & broadcast in CDC 5 VTP Switch(10.142.1.6) as per ES Team suggestion.,vtp switch,cdc vtp switch,crosslink not load correctly,
28,486145,configure log sap vpn,configure Logging to SAP from VPN,sap vpn,configure log sap,vpn slow wipro network,
29,622937,configure new laptop,Configure new laptop,new laptop,configure new laptop,da class utilization report,
30,518335,connect backup client installation backup,Connected backup client installation and backup,connect backup,connect backup client,not work ticket number,
31,620513,connect backup password reset,Connected backup password reset,password reset,backup password reset,da show action need,
32,691304,connection tab not appear internet explorer change proxy setting,Connection Tab not appearing in Internet explorer to change the proxy settings,internet explorer,not appear internet,da show action need,
33,699076,connectivity issue,Connectivity Issue.,connectivity issue,No Pattern,da issue trace issue,
34,447860,contact,Contact - +447767382642,No Pattern,No Pattern,backup nortel core device,
35,507740,contact,Contact - +91- 9890250578 and 9503712016,No Pattern,No Pattern,checklist wt critical device,
36,953189,contact nnumber,contact nnumber : +1 617 480 8454,contact nnumber,No Pattern,pm checklist wt critical,
37,961398,contact,Contact No: 7838387326,No Pattern,No Pattern,pm checklist wt critical,
38,427718,contact num,contact num: 8572056395,contact num,No Pattern,checklist wt critical device,
39,528461,contact number,contact number   :   2013992534,contact number,No Pattern,checklist wt critical device,
40,1046935,contact number,contact number   :   5182216201,contact number,No Pattern,checklist wt critical device,
41,714491,contact number,contact number  :  +15083953501,contact number,No Pattern,checklist wt critical device,
42,843043,contact number,contact number  :  +492151831562,contact number,No Pattern,checklist wt critical device,
43,912641,contact number,contact number :   0031 652672056,contact number,No Pattern,checklist wt critical device,
44,912989,contact number,contact number :  +13027454535,contact number,No Pattern,checklist wt critical device,
45,1104285,contact number,contact number :  +16308639352,contact number,No Pattern,checklist wt critical device,
46,1058376,contact number,contact number :  +19722817445,contact number,No Pattern,checklist wt critical device,
47,830623,contact number,contact number :  +27813771242,contact number,No Pattern,checklist wt critical device,
48,664046,contact number,contact number :  +4148172121,contact number,No Pattern,checklist wt critical device,
49,672048,contact number,contact number :  +44 7867233412,contact number,No Pattern,checklist wt critical device,
50,626564,contact number,contact number :  +49 8912477493,contact number,No Pattern,pm checklist wt critical,
51,962963,contact number,contact number :  6594230359,contact number,No Pattern,detail report creditsuisse not,
52,1020818,contact number,contact number : - 732-865-1346,contact number,No Pattern,user face slowness issue,
53,966961,contact number,contact number :  7816238063,contact number,No Pattern,datum backup laptop laptop,
54,1176334,contact number,contact number :  8223401,contact number,No Pattern,not detect laptop rectify,
55,726839,contact number,Contact number : (206)617-1653,contact number,No Pattern,datum card not work,
56,675053,contact number,contact number : + 33 1 46 93 99 90,contact number,No Pattern,datum card not work,
57,432695,contact number,contact number : +1 (780) 420-7113,contact number,No Pattern,not accessible help priority,
58,584540,contact number,contact number : +1 (972) 401-6456,contact number,No Pattern,direct access not work,
59,672302,contact number,contact number :- +1 201-838-3490 ,contact number,No Pattern,face issue reset user,
60,536090,contact number,contact number :- +1 216 543 9234,contact number,No Pattern,enable email forward not,
61,660017,contact number,contact number : -+1 262-229-7680,contact number,No Pattern,blackberry office server group,
62,574589,contact number,contact number : +1 3033305101,contact number,No Pattern,end revert ft detail,
63,849717,contact number,contact number : +1 4158285099,contact number,No Pattern,checking end revert ft,
64,585712,contact number,contact number :- +1 6023631412,contact number,No Pattern,need enable work lync,
65,404821,contact number,contact number : +1 6506031216,contact number,No Pattern,connect vpn issue connect,
66,389638,contact number,contact number : +1 6692265124,contact number,No Pattern,teamuser login logout immediately,
67,582126,contact number,contact number : +1 7205395057,contact number,No Pattern,enter button not work,
68,557571,contact number,contact number :- +1 813-573-0222,contact number,No Pattern,dell charger need replace,
69,495183,contact number,contact number : +14082504367,contact number,No Pattern,destination ip address need,
70,475048,contact number,contact number :- +15084048307,contact number,No Pattern,device critical alarm clear,
71,471644,contact number,contact number : +16143167012,contact number,No Pattern,device get reboot ectfbcl,
72,467416,contact number,contact number : +44 07768045015,contact number,No Pattern,get reboot sjp device,
73,497146,contact number,contact number : +44 7440359245,contact number,No Pattern,device stop respond poll,
74,969519,contact number,contact number : +44 7768145957,contact number,No Pattern,device stop respond poll,
75,500290,contact number,contact number : +44 7867982506,contact number,No Pattern,device stop respond poll,
76,404073,contact number,contact number : +44 7942849262,contact number,No Pattern,device stop respond poll,
77,522804,contact number,Contact number : +447768099857,contact number,No Pattern,No Pattern,
78,452586,contact number,contact number : +65 91127498,contact number,No Pattern,device not reachable ectgacl,
79,391675,contact number,contact number : +65 96407850,contact number,No Pattern,device not reachable wtusrwcior,
80,651008,contact number,Contact number : 00-44-7791167086,contact number,No Pattern,device not reachable wtvgkdc,
81,656730,contact number,contact number : 02035619409,contact number,No Pattern,device not reachable ectbcl,
82,670944,contact number,contact number : 07424281622,contact number,No Pattern,device not reachable ectmsrcl,
83,645967,contact number,"contact number : 3606 ,  819084616065",contact number,No Pattern,device not reachable wthdcbcebl,
84,557103,contact number,Contact number : 4085074840,contact number,No Pattern,device not reachable ipaddress,
85,624719,contact number,Contact number : 4257613318,contact number,No Pattern,device not reachable cdcsbcl,
86,627455,contact number,contact number : 425-945-6921,contact number,No Pattern,device stop respond poll,
87,527908,contact number,contact number : 6155124253,contact number,No Pattern,device health checkup require,
88,487991,contact number,contact number : 6213234491,contact number,No Pattern,dhcp access require irmc,
89,489205,contact number,Contact number : 732 586 2833,contact number,No Pattern,scope detail atlanda location,
90,488549,contact number,Contact number : 8487025739,contact number,No Pattern,dhcp scope detail bby,
91,547574,contact number,Contact number : 908 635 4732,contact number,No Pattern,dhcp scope detail prepare,
92,547907,contact number,contact number : 9089174881,contact number,No Pattern,dhcp scope bestbuy scope,
93,547590,contact number,contact number : 9820109883,contact number,No Pattern,dhcp server creation sonama,
94,547737,contact number,contact number :+65 84089754,contact number,No Pattern,direct access not work,
95,531516,contact number,contact number: +18153428650,contact number,No Pattern,direct access not work,
96,531172,contact number,Contact number: 678 670 1762,contact number,No Pattern,direct access issue sonu,
97,544452,contact number,Contact Number: 7768103182,contact number,No Pattern,direct access need configure,
98,531143,continous pop,Continous pop,continous pop,No Pattern,direct access not work,
99,531428,corporate network not work window can not contact direct access,corporate network  is not working windows cannot contact direct access,not work,work window can,direct access not work,
100,1088976,corporate wifi configuration,Corporate wifi configuration,wifi configuration,corporate wifi configuration,direct access not work,
101,622278,not open mail box,could not open mail box,not open,not open mail,internet access new destination,
102,569573,kindly provide report month feb,Could you kindly provide report for the month of Feb-2015,kindly provide,kindly provide report,discussion tp migration plan,
103,583885,cpu utilization high,CPU utilization High.,cpu utilization,cpu utilization high,display not work extended,
104,506675,crajeecrajee,crajeecrajee,No Pattern,No Pattern,displya port adptor confiruation,
105,488184,creat dhcp pool,Creat a DHCP Pool,creat dhcp,creat dhcp pool,group dl member modification,
106,727439,create class pdc packetshaper,Create  class in pdc packetshaper.,class pdc,class pdc packetshaper,dlp port need enable,
107,728018,create new ct odc bandwidth class ec packet shaper,create a new CTS ODC bandwidth class in EC packet shaper,packet shaper,bandwidth class ec,No Pattern,
108,452159,create class pdc packetshaper ref lpr,create below class in PDC packetshaper. REF LPR 2015010604,class pdc,class pdc packetshaper,do not close ticket,
109,465993,create new class schneider ssl vpn ps,Create new class for Schneider SSL VPN  in PS,create new,ssl vpn ps,bhdc location dhcp server,
110,729545,create bw class pdc ps mb bwcmr raise,create the Below BW Class in PDC PS with 8MB BW.CMR#2548 is raised for the same,class pdc,bw class pdc,issue slot go offline,
111,722282,create pst outlook,Creating PST in outlook,pst outlook,create pst outlook,ebc engineer change vlan,
112,815124,creation lm user -PRON- would tacacs testing purpose address login issue lm server,Creation of LMS user ID on Tacacs for testing purpose to address the login issue of LMS server,login issue,creation lm user,sec packetshaper shaping issue,
113,536879,crm application not work ist pm ist th november,CRM applications were not working between 10AM IST to 2.45PM IST on 9th November 2014,not work,application not work,wing odc not work,
114,668031,crm issue,CRM issue,crm issue,No Pattern,ectgfacl device not respond,
115,451077,crosslink not load correctly,Crosslink not loading correctly.,not load,crosslink not load,ec cafeteria switch not,
116,557826,current utilization report,Current Utilization Reports,utilization report,current utilization report,ectbcl device not reachable,
117,900313,customer vpn slow wipro network not able work block activity public network connect smooth,Customer VPN is very slow in the wipro network and not able to work. This is blocking our activity. From public network it is connecting smooth.,not able,able work block,blade stop respond poll,
118,900322,cvs proxy issue,CVS proxy issue,proxy issue,cvs proxy issue,blade stop respond poll,
119,461482,cwi password issue,cwi13071= password issue,password issue,cwi password issue,tms suggest user enter,
120,466411,da class utilization report,DA class utilization report.,utilization report,da class utilization,ego laptop network adapter,
121,620763,da not work,DA is not working,not work,da not work,not work internet explorer,
122,883220,da not work,DA Is not working,not work,da not work,email forward outlook rule,
123,437341,da not work ticket number,DA is not working : ticket number 999571,not work,da not work,email forward outlook rule,
124,1182289,da show action need,DA is showing Action needed,da show,show action need,No Pattern,
125,732544,da show action need,DA is showing Action needed,da show,show action need,not work monday night,
126,720733,da issue,DA issue,da issue,No Pattern,dl not receive specific,
127,793026,da issue,DA Issue,da issue,No Pattern,emc bandwidth usage report,
128,1114308,da issue,DA issue,da issue,No Pattern,emc face slowness issue,
129,1114299,da issue,DA issue,da issue,No Pattern,usage utlization report month,
130,473632,da issue,DA issue,da issue,No Pattern,employee state manager approve,
131,473649,da issue,DA issue,da issue,No Pattern,enable pstn facility lync,
132,1062024,da issue,DA issue,da issue,No Pattern,enable yammer active sync,
133,605807,da issue,DA Issue,da issue,No Pattern,security mcafee antivirus roll,
134,514138,da issue,DA Issue,da issue,No Pattern,entire netwrok stack swicth,
135,766210,da issue,DA Issue,da issue,No Pattern,epsilon exchange port block,
136,471819,da issue,DA Issue,da issue,No Pattern,error unknown remain battery,
137,471822,da issue,DA Issue,da issue,No Pattern,error logging escare tt,
138,508611,da issue,DA Issue,da issue,No Pattern,client not detect machine,
139,578897,da issue,DA Issue,da issue,No Pattern,error screen shoot attach,
140,773089,da issue,DA issue,da issue,No Pattern,es care ticket health,
141,1151770,da issue,DA issue,da issue,No Pattern,password issue otp register,
142,718405,da issue,DA Issue,da issue,No Pattern,firewall deny external block,
143,475018,da issue,DA Issue,da issue,No Pattern,outlook not work laptop,
144,484829,da issue,DA Issue,da issue,No Pattern,issue access port pls,
145,552422,da issue trace issue,DA issue and Trace issue,da issue,da issue trace,face issue internet explorer,
146,581194,da not work,DA not working,not work,da not work,face issue lync sharing,
147,581187,da not work,DA not working,not work,da not work,pritech park th floor,
148,577121,da not work,DA not working,not work,da not work,failover test mg road,
149,483516,da not work,DA not working,not work,da not work,failover testing brazil cutiba,
150,1082045,da not work,DA not working,not work,da not work,failover testing charle schwab,
151,847840,da stop work,DA stopped working,stop work,da stop work,failover testing ec internet,
152,682262,daoutlook issue,DA303721-outlook issue,daoutlook issue,No Pattern,federated lync access capricorn,
153,474745,daily backup nortel core device,Daily BACKUP for NORTEL CORE devices,core device,nortel core device,ms lync access request,
154,474677,daily pm checklist wt critical device st nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 1 st Nov '2014,needs to be prepared and shared the same with CH.",pm checklist,checklist wt critical,federation access telefonicacom domain,
155,793671,daily pm checklist wt critical device th october need prepared share ch,"Daily PM checklist of all WT critical devices as on 10 th October '2014,needs to be prepared and shared the same with CH.",pm checklist,checklist wt critical,federation access need enable,
156,1141198,daily pm checklist wt critical device th october need prepared share ch,"Daily PM checklist of all WT critical devices as on 11 th October '2014,needs to be prepared and shared with CH.",pm checklist,checklist wt critical,federation access need enable,
157,1039573,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 12 th Nov '2014,needs to be prepared and shared with CH.",pm checklist,checklist wt critical,federation access need enable,
158,1141254,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 13 th Nov '2014,needs to be prepared and shared with CH.",pm checklist,checklist wt critical,federation access need enable,
159,720875,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 14 th Nov '2014,needs to be prepared and shared with CH.",pm checklist,checklist wt critical,federation access need enable,
160,898566,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 17 th Nov '2014,needs to be prepared and shared with CH.",pm checklist,checklist wt critical,federation access need enable,
161,841323,daily pm checklist wt critical device th nov need prepared share ch,"Daily PM checklist of all WT critical devices as on 19 th Nov '2014,needs to be prepared and shared the same with CH.",pm checklist,checklist wt critical,federation access need enable,
