,0
"('checking', 'end', 'revert', 'ft')",2
"('december', 'ecube', 'task', 'reflect')",1
"('desktop', 'pl', 'find', 'detail')",1
"('ec', 'latency', 'high', 'vrf')",1
"('mac', 'bind', 'port', 'enable')",1
"('fw', 'rakesh', 'relocation', 'extension')",3
"('vpn', 'network', 'slownesswe', 'give')",1
"('ip', 'address', 'physical', 'location')",1
"('need', 'assistance', 'install', 'ms')",2
"('brightness', 'not', 'workig', 'laptop')",1
"('disk', 'dilip', 'retrieve', 'datum')",1
"('end', 'point', 'security', 'mcafee')",1
"('lync', 'user', 'get', 'approval')",1
"('shift', 'primary', 'seconday', 'hyd')",1
"('need', 'configure', 'vlan', 'switch')",63
"('takeda', 'account', 'face', 'network')",1
"('hdc', 'apple', 'cs', 'application')",1
"('hdc', 'packet', 'shaper', 'shaping')",1
"('-PRON-', 'would', 'not', 'login')",1
"('outage', 'hp', 'odc', 'kdc')",1
"('bandwidth', 'class', 'ec', 'packet')",1
"('not', 'route', 'ticket', 'connect')",1
"('password', 'wile', 'change', 'password')",1
"('multicast', 'request', 'remove', 'prefix')",1
"('kindly', 'share', 'location', 'ip')",1
"('battery', 'issue', 'log', 'lenovo')",1
"('link', 'outage', 'hp', 'odc')",1
"('monitor', 'tool', 'nimsoft', 'request')",1
"('st', 'nov', 'need', 'prepared')",1
"('need', 'add', 'host', 'wipro')",1
"('add', 'portugal', 'wlc', 'ac')",1
"('not', 'detect', 'laptop', 'rectify')",1
"('week', 'utilization', 'report', 'zna')",1
"('mention', 'ip', 'address', 'mac')",1
"('needful', 'early', 'project', 'nmg')",1
"('help', 'user', 'otp', 'registration')",86
"('reverse', 'route', 'towrd', 'port')",1
"('report', 'month', 'kindly', 'update')",1
"('client', 'host', 'file', 'ask')",1
"('location', 'user', 'face', 'network')",2
"('read', 'location', 'week', 'utilization')",1
"('look', 'mac', 'address', 'cce')",1
"('primary', 'link', 'stable', 'checking')",1
"('not', 'work', 'mail', 'box')",1
"('know', 'connect', 'discuss', 'regard')",1
"('citi', 'loc', 'pritech', 'park')",1
"('send', 'log', 'syslog', 'server')",1
"('get', 'reboot', 'sjp', 'device')",1
"('location', 'checking', 'end', 'revert')",1
"('daily', 'utilization', 'detail', 'report')",1
"('month', 'kindly', 'update', 'priority')",1
"('hostname', 'cdcsccmmp', 'ip', 'address')",2
"('error', 'ms', 'citrix', 'isa')",1
"('help', 'get', 'january', 'month')",1
"('available', 'mention', 'ip', 'datum')",1
"('mail', 'send', 'receive', 'issue')",1
"('new', 'laptop', 'configure', 'laptop')",1
"('ms', 'lync', 'access', 'request')",1
"('rdp', 'access', 'virtual', 'machine')",1
"('attach', 'screenshot', 'savigent', 'server')",2
"('new', 'laptop', 'need', 'configure')",1
"('stop', 'respond', 'poll', 'andor')",1
"('need', 'assistance', 'install', 'symantic')",1
"('would', 'tacacs', 'testing', 'purpose')",1
"('nov', 'need', 'preapar', 'share')",1
"('hrs', 'bother', 'come', 'escalate')",1
"('ip', 'requirement', 'raise', 'cmr')",1
"('vlan', 'switch', 'ip', 'port')",62
"('needful', 'priority', 'hostname', 'cdcsccmmp')",1
"('vasanth', 'helpdesk', 'cclg', 'mail')",1
"('mail', 'not', 'work', 'usa')",1
"('user', 'face', 'browser', 'issue')",2
"('project', 'nmg', 'location', 'chennai')",1
"('share', 'mention', 'source', 'ip')",5
"('lan', 'port', 'not', 'work')",1
"('end', 'proceed', 'analysis', 'fyi')",1
"('new', 'ct', 'odc', 'bandwidth')",2
