,0
"('th', 'nov', 'need')",11
"('kindly', 'create', 'mb')",1
"('link', 'not', 'visible')",1
"('ehealth', 'ior', 'report')",1
"('testing', 'purpose', 'address')",1
"('pdc', 'packet', 'shaper')",2
"('sh', 'log', 'detail')",1
"('laptop', 'hardware', 'issue')",1
"('available', 'till', 'pm')",1
"('ms', 'citrix', 'isa')",1
"('pdc', 'ps', 'mb')",1
"('wipro', 'raipur', 'single')",1
"('route', 'ckts', 'ip')",1
"('switchport', 'trunk', 'encapsulation')",1
"('login', 'ne', 'add')",1
"('loop', 'ip', 'address')",3
"('sftp', 'requestno', 'ftp')",1
"('not', 'work', 'office')",1
"('laptop', 'medium', 'card')",1
"('ip', 'ts', 'destination')",1
"('gateway', 'not', 'work')",3
"('class', 'ec', 'ps')",2
"('work', 'outlook', 'issue')",2
"('not', 'work', 'asset')",1
"('project', 'wipro', 'harman')",1
"('device', 'dr', 'activity')",1
"('window', 'azure', 'note')",1
"('onsite', 'cash', 'claim')",1
"('help', 'user', 'otp')",89
"('need', 'console', 'emc')",1
"('creation', 'pree', 'meet')",1
"('-PRON-', 'would', 'ou')",1
"('wifi', 'fully', 'hrs')",1
"('access', 'radware', 'lan')",1
"('network', 'adapter', 'need')",1
"('assistance', 'install', 'ms')",2
"('kdc', 'outlook', 'isue')",1
"('check', 'es', 'care')",1
"('ask', 'install', 'file')",1
"('report', 'newly', 'create')",1
"('vlan', '-PRON-', 'would')",1
"('hdc', 'high', 'latency')",1
"('da', 'issue', 'direct')",1
"('dl', 'member', 'modification')",1
"('log', 'flow', 'device')",1
"('access', 'virtual', 'machine')",1
"('external', 'domain', 'electroluxcom')",1
"('packet', 'shaper', 'respectively')",1
"('share', 'utilization', 'report')",3
"('communicator', 'not', 'work')",1
"('need', 'federation', 'access')",1
"('task', 'reflect', 'employee')",1
"('byt', 'interface', 'description')",1
"('kindly', 'manual', 'backup')",8
"('deliver', 'outside', 'wipro')",1
"('matching', 'rule', 'detail')",1
"('deny', 'external', 'block')",1
"('ksa', 'riyadh', 'khobar')",1
"('check', 'query', 'concerned')",1
"('commit', 'bw', 'netsuite')",1
"('related', 'wipro', 'vdi')",1
"('work', 'show', 'blue')",1
"('es', 'care', 'ticket')",1
"('fs', 'file', 'server')",1
"('behalf', 'user', 'eii')",1
"('bw', 'netsuite', 'mb')",1
"('query', 'not', 'relate')",1
"('fw', 'takeda', 'account')",1
"('ininwpblrr', 'not', 'reachable')",1
"('ip', 'segment', 'chochiec')",1
"('state', 'bw', 'utilization')",1
"('cwi', 'password', 'issue')",1
"('ne', 'add', 'url')",1
"('request', 'time', 'request')",1
"('laptop', 'rebuild', 'stop')",1
"('backup', 'client', 'installation')",1
"('update', 'priority', 'hostname')",1
"('ct', 'odc', 'bandwidth')",2
"('backbone', 'segment', 'mainly')",1
"('login', 'issue', '-PRON-')",1
"('device', 'health', 'checkup')",1
"('class', 'pdc', 'packet')",1
"('sap', 'coe', 'system')",1
"('address', 'debin', 'tower')",2
"('operate', 'ts', 'location')",1
"('frquent', 'account', 'lock')",1
"('gdcwvsnlmbpcf', 'link', 'crm')",1
"('get', 'swithc', 'power')",1
"('gcc', 'odc', 'proxy')",1
"('email', 'forward', 'not')",1
"('not', 'work', 'properly')",2
"('primary', 'ww', 'chennai')",1
"('levis', 'shanghai', 'odc')",1
"('incident', '-PRON-', 'would')",1
"('have', 'proxy', 'issue')",1
"('add', 'device', 'port')",1
"('access', 'require', 'irmc')",1
"('device', 'alert', 'sjp')",1
"('need', 'ms', 'project')",1
"('till', 'pm', 'ist')",1
"('port', 'share', 'perform')",1
"('backup', 'mention', 'device')",7
"('dl', 'not', 'receive')",1
"('not', 'able', 'function')",1
"('connect', 'server', 'not')",1
"('ft', 'detail', 'shortly')",2
"('couple', 'system', 'login')",1
"('access', 'ec', 'internet')",1
"('properly', 'user', 'request')",1
"('request', 'check', 'ip')",1
"('not', 'work', 'atlanta')",1
"('need', 'add', 'system')",1
"('primary', 'secondary', 'mbps')",1
"('try', 'access', 'couple')",1
"('similar', 'case', 'cmr')",1
"('create', 'mb', 'bandwidth')",1
"('mention', 'device', 'intermittently')",1
"('passcodeuser', 'recovery', 'safeboot')",1
"('penney', 'router', 'not')",1
"('class', 'pdc', 'packetshaper')",2
"('request', 'need', 'replace')",1
"('swaroopa', 'assign', 'right')",2
"('belong', 'mqlean', 'not')",1
"('ist', 'pm', 'ist')",1
"('port', 'ehealth', 'portal')",1
"('ec', 'sec', 'packetshaper')",1
"('approval', 'manager', 'samuel')",1
"('free', 'disk', 'space')",1
"('find', 'require', 'port')",1
"('help', 'user', 'symentec')",1
"('shift', 'primary', 'seconday')",1
"('device', 'syslog', 'server')",1
"('lcd', 'battery', 'need')",1
"('contact', 'mail', '-PRON-')",1
"('host', 'mbam', 'group')",10
"('da', 'show', 'action')",2
"('let', 'know', 'mention')",1
"('cpu', 'utilization', 'mention')",1
"('policy', 'update', 'vpn')",1
"('log', 'sap', 'vpn')",1
"('environment', 'production', 'regard')",1
"('st', 'floor', 'bw')",1
"('find', 'detail', 'enable')",1
"('destination', 'server', 'ip')",1
"('laptop', 'desktop', 'sap')",1
"('youtube', 'ip', 'segment')",1
"('enable', 'ebc', 'engineer')",1
"('have', 'trouble', 'load')",1
"('issue', 'access', 'port')",1
"('ec', 'noc', 'extended')",1
"('would', 'debug', 'list')",1
"('user', 'ist', 'user')",1
"('route', 'ticket', 'connect')",1
"('need', 'citi', 'utilization')",1
"('kindly', 'share', 'read')",1
"('hard', 'disk', 'issue')",1
"('internet', 'site', 'not')",1
"('task', 'reflect', 'tms')",1
"('kindly', 'share', 'moth')",1
"('instal', 'ap', 'ec')",1
"('need', 'sap', 'software')",1
"('change', 'password', 'migration')",1
"('raise', 'behlaf', 'usersh')",1
"('work', 'regard', 'venu')",1
"('porto', 'location', 'unrachable')",1
"('el', 'outlook', 'issue')",1
"('keypad', 'not', 'work')",1
"('priority', 'regard', 'mandar')",1
"('visio', 'software', 'share')",1
"('kindly', 'high', 'priority')",1
"('frpm', 'td', 'tp')",1
"('sit', 'request', 'check')",1
"('battery', 'issue', 'log')",1
"('user', 'user', 'need')",1
"('lm', 'user', '-PRON-')",1
"('proxy', 'not', 'work')",1
"('port', 'switch', 'ip')",1
"('video', 'poc', 'source')",1
"('webe', 'hyper', 'quality')",1
"('card', 'not', 'detect')",1
"('button', 'not', 'work')",2
"('outlook', 'not', 'work')",1
"('enable', 'wipro', 'network')",1
"('frequent', 'account', 'lookout')",1
"('issue', 'change', 'password')",1
"('virus', 'issue', 'get')",1
"('upload', 'purchase', 'order')",1
"('activate', 'ms', 'office')",21
"('able', 'login', 'ne')",1
"('latency', 'high', 'vrf')",1
"('-PRON-', 'be', 'ticket')",1
"('password', 'big', 'problem')",1
"('issue', 'internet', 'connection')",1
"('not', 'work', 'window')",1
"('odc', 'ip', 'segment')",1
"('dr', 'plan', 'wt')",1
"('request', 'enable', 'tcp')",1
"('login', 'webmail', 'mailbox')",1
"('federation', 'access', 'enable')",3
"('issue', 'access', 'new')",1
"('user', 'otp', 'registration')",86
"('issue', 'connect', 'client')",1
"('not', 'reflect', 'psp')",1
"('link', 'port', 'detail')",1
"('campbell', 'odc', 'kindly')",1
"('slowness', 'reconnect', 'issue')",1
"('communicate', 'client', 'domain')",1
"('citi', 'utilization', 'report')",1
"('access', 'port', 'pls')",1
"('device', 'reachable', 'cdcsecl')",1
"('class', 'eplus', 'ss')",1
"('check', 'physically', 'update')",1
